DBpedia_URI15,rating
http://dbpedia.org/resource/Vancouver,106
http://dbpedia.org/resource/Z?rich,106
http://dbpedia.org/resource/Vienna,106
http://dbpedia.org/resource/Bern,106
http://dbpedia.org/resource/Sydney,105.5
http://dbpedia.org/resource/Geneva,105.5
http://dbpedia.org/resource/Auckland,105.5
http://dbpedia.org/resource/Copenhagen,105.5
http://dbpedia.org/resource/Helsinki,104.5
http://dbpedia.org/resource/Amsterdam,104.5
http://dbpedia.org/resource/Frankfurt,104
http://dbpedia.org/resource/Munich,104
http://dbpedia.org/resource/Melbourne,104
http://dbpedia.org/resource/Honolulu,104
http://dbpedia.org/resource/D?sseldorf,103.5
http://dbpedia.org/resource/San_Francisco,103.5
http://dbpedia.org/resource/Oslo,103.5
http://dbpedia.org/resource/Perth,103.5
http://dbpedia.org/resource/Brussels,103.5
http://dbpedia.org/resource/Toronto,103.5
http://dbpedia.org/resource/Adelaide,103
http://dbpedia.org/resource/Luxembourg,103
http://dbpedia.org/resource/Stockholm,103
http://dbpedia.org/resource/Paris,102.5
http://dbpedia.org/resource/Nuremberg,102.5
http://dbpedia.org/resource/Brisbane,102.5
http://dbpedia.org/resource/Montreal,102.5
http://dbpedia.org/resource/Tokyo,102.5
http://dbpedia.org/resource/Berlin,102
http://dbpedia.org/resource/Hamburg,102
http://dbpedia.org/resource/Wellington,102
http://dbpedia.org/resource/Ludwigshafen,102
http://dbpedia.org/resource/Lyon,102
http://dbpedia.org/resource/Atlanta,101.5
http://dbpedia.org/resource/London,101.5
http://dbpedia.org/resource/Calgary,101.5
http://dbpedia.org/resource/Kobe,101.5
http://dbpedia.org/resource/Lexington,101
http://dbpedia.org/resource/Seattle,101
http://dbpedia.org/resource/Dublin,101
"http://dbpedia.org/resource/Winston-Salem,_North_Carolina",101
http://dbpedia.org/resource/Los_Angeles,101
http://dbpedia.org/resource/Yokohama,101
http://dbpedia.org/resource/Singapore,100.5
"http://dbpedia.org/resource/Washington,_D.C.",100.5
http://dbpedia.org/resource/Pittsburgh,100
http://dbpedia.org/resource/Chicago,100
http://dbpedia.org/resource/Boston,100
http://dbpedia.org/resource/Madrid,100
http://dbpedia.org/resource/New_York,100
http://dbpedia.org/resource/Minneapolis,99
http://dbpedia.org/resource/Portland,99
http://dbpedia.org/resource/Osaka,99
http://dbpedia.org/resource/Nagoya,99
http://dbpedia.org/resource/Glasgow,99
http://dbpedia.org/resource/St._Louis,98.5
http://dbpedia.org/resource/Houston,98.5
"http://dbpedia.org/resource/Tsukuba,_Ibaraki",98.5
http://dbpedia.org/resource/Cleveland,98
http://dbpedia.org/resource/Birmingham,98
http://dbpedia.org/resource/Barcelona,97
http://dbpedia.org/resource/Lisbon,96.5
http://dbpedia.org/resource/Saint_Peter_Port,96.5
http://dbpedia.org/resource/Miami,96.5
http://dbpedia.org/resource/Detroit,96
"http://dbpedia.org/resource/Yokkaichi,_Mie",96
http://dbpedia.org/resource/Milan,96
http://dbpedia.org/resource/Omuta,94.5
http://dbpedia.org/resource/Katsuyama,93
http://dbpedia.org/resource/Hong_Kong,93
http://dbpedia.org/resource/Rome,93
http://dbpedia.org/resource/Montevideo,92.5
http://dbpedia.org/resource/San_Juan,92.5
http://dbpedia.org/resource/Buenos_Aires,91.5
http://dbpedia.org/resource/Budapest,91
http://dbpedia.org/resource/Leipzig,89.5
http://dbpedia.org/resource/Prague,88.5
http://dbpedia.org/resource/Tel_Aviv,86
http://dbpedia.org/resource/Jerusalem,85.5
http://dbpedia.org/resource/Port_Louis,85
http://dbpedia.org/resource/Taipei,85
http://dbpedia.org/resource/Cape_Town,84.5
http://dbpedia.org/resource/Kuala_Lumpur,84
http://dbpedia.org/resource/Limassol,83.5
http://dbpedia.org/resource/Athens,83.5
http://dbpedia.org/resource/Ljubljana,83
http://dbpedia.org/resource/Santiago,83
http://dbpedia.org/resource/Warsaw,83
http://dbpedia.org/resource/Johannesburg,83
http://dbpedia.org/resource/Vilnius,82
http://dbpedia.org/resource/Riga,82
http://dbpedia.org/resource/Panama_City,81.5
http://dbpedia.org/resource/Seoul,81.5
http://dbpedia.org/resource/Istanbul,81.5
http://dbpedia.org/resource/Port_Elizabeth,81
http://dbpedia.org/resource/San_Jos?,80.5
http://dbpedia.org/resource/Dubai,80
http://dbpedia.org/resource/Papeete,79.5
http://dbpedia.org/resource/Tunis,79.5
http://dbpedia.org/resource/Monterrey,79
http://dbpedia.org/resource/Manila,79
http://dbpedia.org/resource/Abu_Dhabi,79
http://dbpedia.org/resource/Bras?lia,79
http://dbpedia.org/resource/Victoria,78.5
http://dbpedia.org/resource/Tallinn,78
http://dbpedia.org/resource/Noum?a,78
http://dbpedia.org/resource/Johor_Bahru,76.5
http://dbpedia.org/resource/S?o_Paulo,76.5
http://dbpedia.org/resource/Bucharest,76.5
http://dbpedia.org/resource/Asunci?n,76
http://dbpedia.org/resource/Rio_de_Janeiro,76
http://dbpedia.org/resource/Bangkok,75.5
http://dbpedia.org/resource/Lima,75.5
http://dbpedia.org/resource/Santo_Domingo,75.5
http://dbpedia.org/resource/Quito,75
